window,timerange,strategy,param_set,exit_code,total_trades,total_profit_pct,profit_factor,sharpe,max_dd_pct,long_profit_pct,short_profit_pct
2024,20240101-20241231,EnhancedCointPairsStrategy_V02,default,0,30,18.3,1.38,0.20,10.25,7.67,10.64
2025-2026Q1,20250101-20260331,EnhancedCointPairsStrategy_V02,default,0,46,4.54,1.07,0.05,10.02,-9.88,14.42
