trade_id,pair,is_short,close_profit,close_profit_abs,stake_amount,open_date,close_date,exit_reason,strategy,trade_date,close_price,ema200,ema200_block,ema200_direction,crisis_block
0,ETH/USDT:USDT,True,-0.0041728123229899,-20.65065592,4949.848035,2026-03-17 22:35:07.337779+00:00,2026-03-17 23:10:16.377000+00:00,time_stop,LiqCascadeStrategy_V04,2026-03-17 00:00:00+00:00,2316.45,2833.2421708441434,False,block_shorts_above,False
1,ETH/USDT:USDT,False,0.003639359079071,17.98007947,4939.46428,2026-03-18 01:05:07.239565+00:00,2026-03-18 01:38:11.381000+00:00,roi,LiqCascadeStrategy_V04,2026-03-18 00:00:00+00:00,2201.95,2826.960655392499,True,block_longs_below,False
2,BTC/USDT:USDT,False,-0.001921062774668,-9.48982132,4937.4122,2026-03-18 02:35:07.847516+00:00,2026-03-18 03:12:26.304000+00:00,time_stop,LiqCascadeStrategy_V04,2026-03-18 00:00:00+00:00,71202.9,87383.48101805303,True,block_longs_below,False
3,BTC/USDT:USDT,False,-0.011040543663052,-54.51981475,4935.678,2026-03-18 03:30:07.508346+00:00,2026-03-18 04:10:04.495000+00:00,time_stop,LiqCascadeStrategy_V04,2026-03-18 00:00:00+00:00,71202.9,87383.48101805303,True,block_longs_below,False
4,ETH/USDT:USDT,True,-0.000583901097411,-2.87016204,4916.47678,2026-03-18 04:35:12.420021+00:00,2026-03-18 05:05:22.459000+00:00,roi,LiqCascadeStrategy_V04,2026-03-18 00:00:00+00:00,2201.95,2826.960655392499,False,block_shorts_above,False
5,BTC/USDT:USDT,True,-0.002463626386899,-12.05670972,4896.3354,2026-03-18 04:35:07.504184+00:00,2026-03-18 05:12:16.402000+00:00,time_stop,LiqCascadeStrategy_V04,2026-03-18 00:00:00+00:00,71202.9,87383.48101805303,False,block_shorts_above,False
6,ETH/USDT:USDT,True,-0.00155008512947,-7.60823874,4909.2534,2026-03-18 05:45:02.479790+00:00,2026-03-18 06:20:11.838000+00:00,time_stop,LiqCascadeStrategy_V04,2026-03-18 00:00:00+00:00,2201.95,2826.960655392499,False,block_shorts_above,False
7,BTC/USDT:USDT,True,-0.009814141062938,-48.15770666,4907.9527,2026-03-18 05:55:12.333362+00:00,2026-03-18 06:34:56.326000+00:00,time_stop,LiqCascadeStrategy_V04,2026-03-18 00:00:00+00:00,71202.9,87383.48101805303,False,block_shorts_above,False
8,BTC/USDT:USDT,False,0.002901903238495,14.11989666,4864.7636,2026-03-18 08:55:07.254531+00:00,2026-03-18 09:25:16.293000+00:00,roi,LiqCascadeStrategy_V04,2026-03-18 00:00:00+00:00,71202.9,87383.48101805303,True,block_longs_below,False
9,BTC/USDT:USDT,False,-0.0036957917096822,-18.03480946,4878.84725,2026-03-18 09:45:07.942709+00:00,2026-03-18 10:21:21.322000+00:00,time_stop,LiqCascadeStrategy_V04,2026-03-18 00:00:00+00:00,71202.9,87383.48101805303,True,block_longs_below,False
10,ETH/USDT:USDT,True,0.0397793701033428,194.07247516,4879.697615,2026-03-18 11:10:03.658249+00:00,2026-03-18 11:39:55.120000+00:00,roi,LiqCascadeStrategy_V04,2026-03-18 00:00:00+00:00,2201.95,2826.960655392499,False,block_shorts_above,False
11,BTC/USDT:USDT,True,0.0074309324268339,36.11933668,4863.1051,2026-03-18 11:35:13.336723+00:00,2026-03-18 12:06:56.391000+00:00,roi,LiqCascadeStrategy_V04,2026-03-18 00:00:00+00:00,71202.9,87383.48101805303,False,block_shorts_above,False
12,ETH/USDT:USDT,True,0.0037554609203232,18.68160865,4975.51329,2026-03-18 11:40:07.442065+00:00,2026-03-18 12:10:12.764000+00:00,roi,LiqCascadeStrategy_V04,2026-03-18 00:00:00+00:00,2201.95,2826.960655392499,False,block_shorts_above,False
13,BTC/USDT:USDT,True,-0.00036622329073,-1.82881326,4994.7099,2026-03-18 12:35:12.107062+00:00,2026-03-18 13:05:17.030000+00:00,roi,LiqCascadeStrategy_V04,2026-03-18 00:00:00+00:00,71202.9,87383.48101805303,False,block_shorts_above,False
14,ETH/USDT:USDT,False,-0.010693821914795,-53.5004466,5001.93,2026-03-18 13:25:12.879053+00:00,2026-03-18 14:00:17.596000+00:00,time_stop,LiqCascadeStrategy_V04,2026-03-18 00:00:00+00:00,2201.95,2826.960655392499,True,block_longs_below,False
15,BTC/USDT:USDT,False,-0.023253659030181,-116.309574,5000.775,2026-03-18 13:25:07.236967+00:00,2026-03-18 14:00:21.296000+00:00,time_stop,LiqCascadeStrategy_V04,2026-03-18 00:00:00+00:00,71202.9,87383.48101805303,True,block_longs_below,False
