label,tf,pair,n,beta_s,beta_std,eg_p,j,H,hl_h,p_rev,sweep,passes,overall
ETH/BCH@4h,4h,ETH/BCH,9305,0.594,0.785,0.0909,FAIL,0.257,975.0,0.64,PASS,5,MARGINAL
ETH/ETC@4h,4h,ETH/ETC,9305,0.715,0.412,0.7794,FAIL,0.237,4927.0,0.18,PASS,3,NO GO
BNB/SOL@4h,4h,BNB/SOL,9305,0.354,0.219,0.5447,FAIL,0.233,2221.0,0.36,PASS,6,GO
BNB/XRP@4h,4h,BNB/XRP,9305,0.445,0.345,0.7662,FAIL,0.253,4295.0,0.21,PASS,5,MARGINAL
BNB/ADA@4h,4h,BNB/ADA,9305,0.464,0.315,0.8731,FAIL,0.25,6535.0,0.14,PASS,4,MARGINAL
BNB/DOGE@4h,4h,BNB/DOGE,9305,0.656,0.304,0.2577,FAIL,0.25,1544.0,0.48,PASS,5,MARGINAL
BNB/LTC@4h,4h,BNB/LTC,9305,0.694,0.372,0.8887,FAIL,0.23,6708.0,0.14,PASS,3,NO GO
BNB/BCH@4h,4h,BNB/BCH,9305,0.548,0.457,0.744,FAIL,0.258,3120.0,0.27,PASS,5,MARGINAL
BNB/ETC@4h,4h,BNB/ETC,9305,0.644,0.393,0.9358,FAIL,0.248,10142.0,0.09,PASS,3,NO GO
SOL/XRP@4h,4h,SOL/XRP,9305,1.102,0.453,0.8571,FAIL,0.272,7802.0,0.12,PASS,4,MARGINAL
SOL/ADA@4h,4h,SOL/ADA,9305,1.382,0.332,0.8319,FAIL,0.251,6565.0,0.14,PASS,4,MARGINAL
SOL/DOGE@4h,4h,SOL/DOGE,9305,1.461,0.29,0.5198,FAIL,0.257,2984.0,0.28,PASS,6,GO
SOL/LTC@4h,4h,SOL/LTC,9305,1.285,0.46,0.9207,FAIL,0.26,12444.0,0.08,PASS,3,NO GO
SOL/BCH@4h,4h,SOL/BCH,9305,1.527,0.654,0.3273,FAIL,0.268,1929.0,0.4,PASS,5,MARGINAL
SOL/ETC@4h,4h,SOL/ETC,9305,1.7,0.414,0.8762,FAIL,0.262,7675.0,0.12,PASS,3,NO GO
XRP/ADA@4h,4h,XRP/ADA,9305,0.729,0.266,0.9636,FAIL,0.26,20483.0,0.05,PASS,5,MARGINAL
XRP/DOGE@4h,4h,XRP/DOGE,9305,0.823,0.253,0.7271,FAIL,0.26,3452.0,0.25,PASS,6,GO
XRP/LTC@4h,4h,XRP/LTC,9305,1.3,0.377,0.8941,FAIL,0.239,4452.0,0.2,PASS,4,MARGINAL
XRP/BCH@4h,4h,XRP/BCH,9305,0.591,0.631,0.9513,FAIL,0.275,14731.0,0.07,PASS,4,MARGINAL
XRP/ETC@4h,4h,XRP/ETC,9305,0.482,0.271,0.9905,FAIL,0.269,9999.0,0.0,PASS,4,MARGINAL
ADA/DOGE@4h,4h,ADA/DOGE,9305,0.619,0.297,0.221,FAIL,0.231,1953.0,0.4,PASS,6,GO
ADA/LTC@4h,4h,ADA/LTC,9305,1.092,0.475,0.5339,FAIL,0.239,2852.0,0.3,PASS,4,MARGINAL
ADA/BCH@4h,4h,ADA/BCH,9305,0.419,0.749,0.4106,FAIL,0.255,2550.0,0.32,PASS,5,MARGINAL
ADA/ETC@4h,4h,ADA/ETC,9305,1.187,0.328,0.4853,FAIL,0.244,2148.0,0.37,PASS,4,MARGINAL
DOGE/LTC@4h,4h,DOGE/LTC,9305,1.271,0.434,0.602,PASS,0.231,2472.0,0.33,PASS,5,MARGINAL
DOGE/BCH@4h,4h,DOGE/BCH,9305,0.707,0.815,0.443,FAIL,0.265,2275.0,0.36,PASS,5,MARGINAL
DOGE/ETC@4h,4h,DOGE/ETC,9305,0.862,0.396,0.8269,FAIL,0.264,5999.0,0.15,PASS,3,NO GO
LTC/BCH@4h,4h,LTC/BCH,9305,0.227,0.661,0.0922,FAIL,0.212,1136.0,0.58,PASS,4,MARGINAL
LTC/ETC@4h,4h,LTC/ETC,9305,0.381,0.275,0.2486,PASS,0.208,1593.0,0.47,PASS,5,MARGINAL
BCH/ETC@4h,4h,BCH/ETC,9305,0.785,0.442,0.9419,FAIL,0.265,10084.0,0.09,PASS,3,NO GO
